OBJECTID,AUTOMAATNR,STRAATNAAM,ZONEBELPARKEREN,TARIEF,BETAALTIJDEN,X,Y,BUURTNR,WIJKNR,GEBIEDSNR,LON,LAT
1,9190,"Statenlaan
",26071,"1,75",ma t/m za 9-23h zo 12-23h,191775.954,443642.568,14,3,1,5.9224976,51.9799680
2,9187,Prinsessestraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191609.465,443642.766,12,2,1,5.9200744,51.9799808
3,9163,Johan de Wittlaan / Statenlaan,26071,"1,75",ma t/m za 9-23h zo 12-23h,191734.282,443514.178,14,3,1,5.9218773,51.9788168
4,9177,Riethorsterstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191458.255,443830.488,11,2,1,5.9178935,51.9816780
5,9179,Parkstraat / Prins Hendrikstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191640.818,443820.963,11,2,1,5.9205497,51.9815803
6,9173,Driekoningenstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191696.381,444007.693,11,2,1,5.9213785,51.9832550
7,9171,Driekoningendwarsstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191581.882,444023.37,11,2,1,5.9197135,51.9834034
8,9176,Spijkerstraat ,26071,"1,75",ma t/m za 9-23h zo 12-23h,191381.857,443875.137,11,2,1,5.9167862,51.9820843
9,9186,Boulevard Heuvelink / Prins Hendrikstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191691.618,443707.06,12,2,1,5.9212770,51.9805532
10,9189,Boulevard Heuvelink / Johan de Wittlaan,26071,"1,75",ma t/m za 9-23h zo 12-23h,191641.612,443494.533,12,2,1,5.9205264,51.9786464
11,9162,Johan de Wittlaan / Groen van Prinsterenstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191936.491,443553.271,14,3,1,5.9248246,51.9791547
12,9191,van Slingelandstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191910.297,443684.835,14,3,1,5.9244575,51.9803390
13,9185,Emmastraat / Thorbeckestraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191874.578,443777.307,12,2,1,5.9239475,51.9811725
14,9184,Thorbeckestraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,192018.445,443796.754,14,3,1,5.9260437,51.9813377
15,9178,Kastanjelaan,26071,"1,75",ma t/m za 9-23h zo 12-23h,191562.832,443787.427,12,2,1,5.9194110,51.9812841
16,9180,Parkstraat / Schoolstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191740.236,443848.745,11,2,1,5.9219998,51.9818235
17,9183,C.A.Thiemestraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191924.981,443894.187,11,2,1,5.9246938,51.9822196
18,9182,Emmastraat / Dullertstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191796.393,443931.493,11,2,1,5.9228261,51.9825635
19,9172,Spijkerstraat / Karel van Gelderstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191799.965,444041.428,11,2,1,5.9228899,51.9835513
20,9170,Karel van Gelderstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191715.629,444079.131,11,2,1,5.9216663,51.9838958
21,9161,1e Wijkstraat zijde Spijkerlaan,26071,"1,75",ma t/m za 9-23h zo 12-23h,191432.657,444010.472,11,2,1,5.9175400,51.9832973
22,9160,1e Wijkstraat zijde Boekhorstenstraat,26071,"1,75",ma t/m za 9-23h zo 12-23h,191370.149,444000.351,11,2,1,5.9166291,51.9832104
23,9094,Cattepoelseweg,26099,1.75,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191082.726,446027.091,52,9,3,5.9126588,52.0014452
24,9157,van Oldenbarneveldtstraat / Broekstraat,26082,1.75,ma t/m vr 09.00-18.00 uur,191691.972,443220.441,21,3,1,5.9212300,51.9761795
25,9156,van Oldenbarneveldtstraat / De Rijpstraat,26082,1.75,ma t/m vr 09.00-18.00 uur,191675.823,443342.646,20,3,1,5.9210081,51.9772790
26,9155,BP van Verschuerstraat,26082,1.75,ma t/m vr 09.00-18.00 uur,191576.339,443321.169,21,3,1,5.9195579,51.9770925
27,9154,Rietgrachtstraat / B.P.van Verschuerstraat,26082,1.75,ma t/m vr 09.00-18.00 uur,191476.153,443297.241,21,3,1,5.9180972,51.9768840
